id,name,fullname,type,is_category,internal_type,external
597,checkName,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\src\js\controllers\CustomersDetailsCtrl.js/CAST_AngularJS_Controller/CustomersDetailsCtrl.CustomersDetailsCtrl/CAST_AngularJS_ModelFunction/checkName,AngularJS Model function,AngularJS Model function,CAST_AngularJS_ModelFunction,1
598,saveCustomer,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\src\js\controllers\CustomersDetailsCtrl.js/CAST_AngularJS_Controller/CustomersDetailsCtrl.CustomersDetailsCtrl/CAST_AngularJS_ModelFunction/saveCustomer,AngularJS Model function,AngularJS Model function,CAST_AngularJS_ModelFunction,1
601,CustomersListCtrl,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\src\js\controllers\CustomersListCtrl.js/CAST_AngularJS_Controller/CustomersListCtrl.CustomersListCtrl,AngularJS Controller,AngularJS Controller,CAST_AngularJS_Controller,1
602,addCustomer,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\src\js\controllers\CustomersListCtrl.js/CAST_AngularJS_Controller/CustomersListCtrl.CustomersListCtrl/CAST_AngularJS_ModelFunction/addCustomer,AngularJS Model function,AngularJS Model function,CAST_AngularJS_ModelFunction,1
603,confirmCtrl,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\src\js\controllers\CustomersListCtrl.js/CAST_AngularJS_Controller/CustomersListCtrl.CustomersListCtrl/CAST_AngularJS_ModelFunction/confirmCtrl,AngularJS Model function,AngularJS Model function,CAST_AngularJS_ModelFunction,1
604,deleteCustomer,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\src\js\controllers\CustomersListCtrl.js/CAST_AngularJS_Controller/CustomersListCtrl.CustomersListCtrl/CAST_AngularJS_ModelFunction/deleteCustomer,AngularJS Model function,AngularJS Model function,CAST_AngularJS_ModelFunction,1
605,gridOptions.beforeSelectionChange,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\src\js\controllers\CustomersListCtrl.js/CAST_AngularJS_Controller/CustomersListCtrl.CustomersListCtrl/CAST_AngularJS_ModelFunction/gridOptions.beforeSelectionChange,AngularJS Model function,AngularJS Model function,CAST_AngularJS_ModelFunction,1
606,focusCustomer,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\src\js\controllers\CustomersListCtrl.js/CAST_AngularJS_Controller/CustomersListCtrl.CustomersListCtrl/CAST_AngularJS_ModelFunction/focusCustomer,AngularJS Model function,AngularJS Model function,CAST_AngularJS_ModelFunction,1
620,CustomersNewCtrl,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\src\js\controllers\CustomersNewCtrl.js/CAST_AngularJS_Controller/CustomersNewCtrl.CustomersNewCtrl,AngularJS Controller,AngularJS Controller,CAST_AngularJS_Controller,1
621,save,C:\CASTMS\Deploy_demo\Banking system\main_sources\CustomersManagement\public\src\js\controllers\CustomersNewCtrl.js/CAST_AngularJS_Controller/CustomersNewCtrl.CustomersNewCtrl/CAST_AngularJS_ModelFunction/save,AngularJS Model function,AngularJS Model function,CAST_AngularJS_ModelFunction,1
